index;filename;duration;tracks;sustain
1;"./FILMS/My-Heart-Will-Go-On-(From-'Titanic')-piano.mid";4;2;331
2;"./ENESCU GEORGE/Suite Op. 10.mid";23;2;22449
3;"./BRAMS JOHANNES/Sonata No. 1 in C Major, Op. 1.mid";26;2;21192
4;"./BRAMS JOHANNES/Sonata Op. 5.mid";33;2;30344
5;"./BRAMS JOHANNES/Paganini Variations, Op. 35 Book II.mid";11;2;10886
6;"./BRAMS JOHANNES/Sonata No. 3 in F Minor, Op. 5.mid";33;2;22805
7;"./BRAMS JOHANNES/Waltz No.2.mid";1;1;28
8;"./BRAMS JOHANNES/Sonata in F Minor, Op. 5.mid";11;2;5330
9;"./BRAMS JOHANNES/Waltz No.4.mid";1;1;35
10;"./BRAMS JOHANNES/Variations on a Theme by Paganini, Op. 35, Book II.mid";11;2;5349
11;"./BRAMS JOHANNES/Sonata No. 1.mid";28;2;22097
12;"./BRAMS JOHANNES/Intermezzo Op. 118 No. 6 in E-flat Minor.mid";5;2;6051
13;"./BRAMS JOHANNES/Intermezzos Op. 119.mid";14;2;16712
14;"./BRAMS JOHANNES/Fantasien Op.116.mid";23;2;19501
15;"./BRAMS JOHANNES/Waltz No.9.mid";2;1;908
16;"./BRAMS JOHANNES/Rhapsody Op. 79 No. 1 in B minor.mid";9;2;7647
17;"./BRAMS JOHANNES/Paganini Variations, Op. 35 Books I and II.mid";21;2;24228
18;"./BRAMS JOHANNES/Fantasies, Op. 116 No. 7 (Complete).mid";21;2;9952
19;"./BRAMS JOHANNES/Variations on a theme by Paganini (Books I & II).mid";24;2;15585
20;"./BRAMS JOHANNES/Paganini Variations, Op. 35 Book 2.mid";10;2;4103
21;"./BRAMS JOHANNES/16 Waltzes, Op. 39.mid";18;2;15491
22;"./BRAMS JOHANNES/Rhapsody in G Major (183).mid";5;1;535
23;"./BRAMS JOHANNES/Fantasias Op. 116 (Selections).mid";16;2;9491
24;"./BRAMS JOHANNES/Variations on a Theme by Paganini, Op. 35, Volumes 1 & 2.mid";25;2;23482
25;"./BRAMS JOHANNES/Variations and Fugue on the theme of Handel, Op. 24.mid";26;2;27395
26;"./BRAMS JOHANNES/Variations and Fugue on the Theme of Händel, Op. 24.mid";25;2;21444
27;"./BRAMS JOHANNES/Six Pieces for Piano, Op. 118.mid";22;2;12252
28;"./BRAMS JOHANNES/Sonata 2 F-sharp Minor, Op. 2.mid";24;2;28364
29;"./BRAMS JOHANNES/Variations on a Theme by Paganini, Op. 35 Book II.mid";11;2;8751
30;"./RAVEL MAURICE/Pavane pour une infante defunte.mid";6;1;387
31;"./RAVEL MAURICE/Miroirs-La Vallee des Cloches. Tres lent.mid";6;1;67
32;"./RAVEL MAURICE/Histoires Naturelles, No.1 Le Paon.mid";4;3;538
33;"./RAVEL MAURICE/A la manière de Chabrier M.63-2.mid";2;2;185
34;"./MUSSORGSKY MODEST/Pictures at an E.mid";34;2;29592
35;"./MUSSORGSKY MODEST/Pictures at an Exhibition.mid";32;2;25375
36;"./RAMEAU JEAN-PHILIPPE/Rameau Selections.mid";6;2;5438
37;"./MEDTNER NIKOLAI/Three Fairy Tales Skazki from Op. 34.mid";12;2;18568
38;"./MEDTNER NIKOLAI/Two Fairy Tales.mid";7;2;5054
39;"./MEDTNER NIKOLAI/Fairy Tale in D Minor, Op. 54.mid";6;2;3582
40;"./MEDTNER NIKOLAI/Fairy Tales Op. 51 No. 1, 2 and No. 3.mid";11;2;15923
41;"./MEDTNER NIKOLAI/Sonata Tragica, Op. 39, No. 5.mid";10;2;4213
42;"./BERG ALBAN MARIA JOHANNES/Sonata Op. 1.mid";8;2;9432
43;"./ELTON JOHN/Careless Whisper.mid";4;2;160
44;"./EVANS BILL/What Are You Doing The Rest Of Your Life.mid";4;2;232
45;"./POP-INTER/Coolio - Gangsta's Paradise [Remake].mid";3;3;624
46;"./POP-INTER/Pixies - Where is my mind.mid";107;3;372
47;"./POP-INTER/Metallica - Nothing Else Matters piano solo.mid";6;2;570
48;"./POP-INTER/The Weeknd - Save Your Tears.mid";64;3;480
49;"./POP-INTER/Ludovico Einaudi - Experience.mid";87;3;452
50;"./POP-INTER/Gary Jules - Mad World.mid";50;3;926
